
This is the output file for the script demultiplexing.py.
Number of Matched Index Pairs:	331755033	(91.33049275721639%)
Number of Index-Hopped Index Pairs:	707740	(0.19483726398807136%)
Number of Unknown/Low Quality Index Pairs:	30783962	(8.474669978795541%)
Number of Total Index Pairs:	363246735

Counters for Matched Index Pairs

Index Pair	Count	Percentage out of Matched Reads
('A12', 'B7')	205	5.643546940621503e-05%
('A12', 'B8')	127	3.4962461534582e-05%
('A12', 'B9')	100	2.7529497271324406e-05%
('A12', 'C1')	146	4.019306601613363e-05%
('A12', 'C10')	782	0.00021528066866175686%
('A12', 'C2')	98	2.6978907325897918e-05%
('A12', 'C3')	56	1.5416518471941665e-05%
('A12', 'C4')	957	0.0002634572888865746%
('A12', 'C7')	35	9.635324044963543e-06%
('A12', 'C9')	323	8.892027618637783e-05%
('A2', 'A1')	782	0.00021528066866175686%
('A2', 'A10')	497	0.00013682160143848232%
('A2', 'A11')	848	0.00023345013686083095%
('A2', 'A12')	305	8.396496667753945e-05%
('A2', 'A2')	10087503	2.7770388631297678%
('A2', 'A3')	734	0.00020206650997152113%
('A2', 'A5')	265	7.295316776900968e-05%
('A2', 'A7')	288	7.928495214141429e-05%
('A2', 'A8')	582	0.00016022167411910805%
('A2', 'B1')	358	9.855560023134139e-05%
('A2', 'B10')	621	0.00017095817805492456%
('A2', 'B2')	328	9.029675104994406e-05%
('A2', 'B3')	1513	0.00041652129371513825%
('A2', 'B4')	636	0.00017508760264562325%
('A2', 'B7')	788	0.00021693243849803633%
('A2', 'B8')	217	5.9739009078773966e-05%
('A2', 'B9')	540	0.0001486592852651518%
('A2', 'C1')	549	0.00015113694001957098%
('A2', 'C10')	1858	0.0005114980593012075%
('A2', 'C2')	598	0.00016462639368251995%
('A2', 'C3')	201	5.533428951536206e-05%
('A2', 'C4')	2521	0.0006940186262100883%
('A2', 'C7')	170	4.680014536125149e-05%
('A2', 'C9')	917	0.0002524454899780448%
('A3', 'A1')	568	0.00015636754450112263%
('A3', 'A10')	1090	0.00030007152025743604%
('A3', 'A11')	1116	0.00030722918954798035%
('A3', 'A12')	242	6.662138339660507e-05%
('A3', 'A2')	718	0.00019766179040810923%
('A3', 'A3')	15733007	4.331217732762278%
('A3', 'A5')	527	0.00014508045061987964%
('A3', 'A7')	350	9.635324044963543e-05%
('A3', 'A8')	584	0.00016077226406453453%
('A3', 'B1')	575	0.00015829460931011534%
('A3', 'B10')	845	0.00023262425194269122%
('A3', 'B2')	487	0.00013406865171134986%
('A3', 'B3')	1941	0.0005343475420364068%
('A3', 'B4')	462	0.00012718627739351877%
('A3', 'B7')	85536	0.023547630786000043%
('A3', 'B8')	920	0.0002532713748961845%
('A3', 'B9')	791	0.00021775832341617605%
('A3', 'C1')	400	0.00011011798908529762%
('A3', 'C10')	2719	0.0007485270308073106%
('A3', 'C2')	499	0.00013737219138390877%
('A3', 'C3')	283	7.790847727784806e-05%
('A3', 'C4')	4606	0.0012680086443172022%
('A3', 'C7')	266	7.322846274172292e-05%
('A3', 'C9')	633	0.00017426171772748347%
('A5', 'A1')	291	8.011083705955403e-05%
('A5', 'A10')	329	9.05720460226573e-05%
('A5', 'A11')	463	0.000127461572366232%
('A5', 'A12')	105	2.8905972134890628e-05%
('A5', 'A2')	208	5.726135432435476e-05%
('A5', 'A3')	504	0.000138748666247475%
('A5', 'A5')	5604966	1.5430189620286607%
('A5', 'A7')	131	3.606364142543497e-05%
('A5', 'A8')	321	8.836968624095135e-05%
('A5', 'B1')	204	5.6160174433501786e-05%
('A5', 'B10')	278	7.653200241428186e-05%
('A5', 'B2')	195	5.3682519679082596e-05%
('A5', 'B3')	1304	0.0003589846444180703%
('A5', 'B4')	227	6.249195880590641e-05%
('A5', 'B7')	219	6.028959902420045e-05%
('A5', 'B8')	117	3.220951180744956e-05%
('A5', 'B9')	171	4.707544033396473e-05%
('A5', 'C1')	183	5.037898000652367e-05%
('A5', 'C10')	1160	0.00031934216834736314%
('A5', 'C2')	167	4.597426044311176e-05%
('A5', 'C3')	214	5.891312416063423e-05%
('A5', 'C4')	2046	0.0005632535141712974%
('A5', 'C7')	124	3.413657661644226e-05%
('A5', 'C9')	236	6.49696135603256e-05%
('A7', 'A1')	193	5.31319297336561e-05%
('A7', 'A10')	176	4.8451915197530953e-05%
('A7', 'A11')	269	7.405434765986266e-05%
('A7', 'A12')	48	1.3214158690235714e-05%
('A7', 'A2')	252	6.93743331237375e-05%
('A7', 'A3')	203	5.588487946078855e-05%
('A7', 'A5')	205	5.643546940621503e-05%
('A7', 'A7')	3641072	1.0023688168869571%
('A7', 'A8')	368	0.00010130854995847381%
('A7', 'B1')	170	4.680014536125149e-05%
('A7', 'B10')	208	5.726135432435476e-05%
('A7', 'B2')	132	3.6338936398148213e-05%
('A7', 'B3')	397	0.00010929210416715789%
('A7', 'B4')	167	4.597426044311176e-05%
('A7', 'B7')	251	6.909903815102426e-05%
('A7', 'B8')	85	2.3400072680625745e-05%
('A7', 'B9')	179	4.9277800115670695e-05%
('A7', 'C1')	184	5.0654274979236904e-05%
('A7', 'C10')	755	0.0002078477043984993%
('A7', 'C2')	109	3.0007152025743603e-05%
('A7', 'C3')	133	3.661423137086146e-05%
('A7', 'C4')	790	0.00021748302844346284%
('A7', 'C7')	102	2.8080087216750893e-05%
('A7', 'C9')	136	3.7440116289001195e-05%
('A8', 'A1')	531	0.0001461816305107326%
('A8', 'A10')	570	0.0001569181344465491%
('A8', 'A11')	783	0.00021555596363447013%
('A8', 'A12')	133	3.661423137086146e-05%
('A8', 'A2')	509	0.00014012514111104123%
('A8', 'A3')	698	0.00019215589095384434%
('A8', 'A5')	282	7.763318230513484e-05%
('A8', 'A7')	549	0.00015113694001957098%
('A8', 'A8')	8673180	2.387682851437054%
('A8', 'B1')	996	0.0002741937928223911%
('A8', 'B10')	662	0.00018224527193616758%
('A8', 'B2')	413	0.0001136968237305698%
('A8', 'B3')	1100	0.00030282446998456845%
('A8', 'B4')	307	8.451555662296593e-05%
('A8', 'B7')	683	0.00018802646636314568%
('A8', 'B8')	355	9.772971531320166e-05%
('A8', 'B9')	355	9.772971531320166e-05%
('A8', 'C1')	228	6.276725377861965e-05%
('A8', 'C10')	2149	0.0005916088963607614%
('A8', 'C2')	319	8.781909629552485e-05%
('A8', 'C3')	323	8.892027618637783e-05%
('A8', 'C4')	2227	0.0006130819042323945%
('A8', 'C7')	359	9.883089520405462e-05%
('A8', 'C9')	394	0.00010846621924901817%
('B1', 'A1')	826	0.0002273936474611396%
('B1', 'A10')	776	0.0002136288988254774%
('B1', 'A11')	1014	0.00027914910233122945%
('B1', 'A12')	119	3.276010175287605e-05%
('B1', 'A2')	353	9.717912536777516e-05%
('B1', 'A3')	608	0.00016737934340965238%
('B1', 'A5')	213	5.8637829187920984e-05%
('B1', 'A7')	159	4.377190066140581e-05%
('B1', 'A8')	327	9.00214560772308e-05%
('B1', 'B1')	8119243	2.235186780137198%
('B1', 'B10')	537	0.00014783340034701207%
('B1', 'B2')	1532	0.0004217518981966899%
('B1', 'B3')	965	0.00026565964866828056%
('B1', 'B4')	415	0.00011424741367599628%
('B1', 'B7')	377	0.00010378620471289301%
('B1', 'B8')	162	4.459778557954554e-05%
('B1', 'B9')	348	9.580265050420893e-05%
('B1', 'C1')	258	7.102610296001697e-05%
('B1', 'C10')	1351	0.00037192350813559276%
('B1', 'C2')	306	8.424026165025269e-05%
('B1', 'C3')	149	4.101895093427337e-05%
('B1', 'C4')	1975	0.000543707571108657%
('B1', 'C7')	101	2.7804792244037653e-05%
('B1', 'C9')	332	9.139793094079703e-05%
('B10', 'A1')	660	0.0001816946819907411%
('B10', 'A10')	1115	0.00030695389457526716%
('B10', 'A11')	1359	0.0003741258679172987%
('B10', 'A12')	153	4.212013082512634e-05%
('B10', 'A2')	478	0.00013159099695693067%
('B10', 'A3')	889	0.000244737230742074%
('B10', 'A5')	285	7.845906722327456e-05%
('B10', 'A7')	206	5.671076437892828e-05%
('B10', 'A8')	606	0.0001668287534642259%
('B10', 'B1')	1058	0.00029126208113061224%
('B10', 'B10')	11316780	3.1154526413017862%
('B10', 'B2')	362	9.965678012219435e-05%
('B10', 'B3')	1255	0.0003454951907551213%
('B10', 'B4')	407	0.00011204505389429033%
('B10', 'B7')	551	0.0001516875299649975%
('B10', 'B8')	236	6.49696135603256e-05%
('B10', 'B9')	481	0.0001324168818750704%
('B10', 'C1')	270	7.43296426325759e-05%
('B10', 'C10')	1660	0.00045698965470398513%
('B10', 'C2')	357	9.828030525862812e-05%
('B10', 'C3')	244	6.717197334203155e-05%
('B10', 'C4')	2707	0.0007452234911347517%
('B10', 'C7')	197	5.423310962450908e-05%
('B10', 'C9')	459	0.00012636039247537902%
('B2', 'A1')	370	0.0001018591399039003%
('B2', 'A10')	470	0.00012938863717522472%
('B2', 'A11')	814	0.00022409010778858066%
('B2', 'A12')	99	2.7254202298611165e-05%
('B2', 'A2')	323	8.892027618637783e-05%
('B2', 'A3')	709	0.00019518413565369004%
('B2', 'A5')	214	5.891312416063423e-05%
('B2', 'A7')	181	4.9828390061097176e-05%
('B2', 'A8')	277	7.62567074415686e-05%
('B2', 'B1')	651	0.00017921702723632188%
('B2', 'B10')	492	0.0001354451265749161%
('B2', 'B2')	7416557	2.041740856941219%
('B2', 'B3')	1195	0.00032897749239232666%
('B2', 'B4')	334	9.194852088622353e-05%
('B2', 'B7')	335	9.222381585893677e-05%
('B2', 'B8')	148	4.074365596156012e-05%
('B2', 'B9')	259	7.130139793273021e-05%
('B2', 'C1')	229	6.304254875133289e-05%
('B2', 'C10')	1122	0.00030888095938425984%
('B2', 'C2')	240	6.607079345117858e-05%
('B2', 'C3')	166	4.5698965470398516e-05%
('B2', 'C4')	1846	0.0005081945196286486%
('B2', 'C7')	96	2.6428317380471427e-05%
('B2', 'C9')	299	8.231319684125998e-05%
('B3', 'A1')	1401	0.000385688256771255%
('B3', 'A10')	2379	0.0006549267400848076%
('B3', 'A11')	3445	0.0009483911809971259%
('B3', 'A12')	570	0.0001569181344465491%
('B3', 'A2')	1308	0.0003600858243089232%
('B3', 'A3')	2652	0.0007300822676355233%
('B3', 'A5')	2171	0.0005976653857604529%
('B3', 'A7')	646	0.00017784055237275565%
('B3', 'A8')	1211	0.00033338221195573857%
('B3', 'B1')	1165	0.00032071864321092934%
('B3', 'B10')	2037	0.0005607758594168782%
('B3', 'B2')	2491	0.000685759777028691%
('B3', 'B3')	34976387	9.628823504772864%
('B3', 'B4')	1359	0.0003741258679172987%
('B3', 'B7')	1742	0.00047956384246647117%
('B3', 'B8')	770	0.00021197712898919795%
('B3', 'B9')	1033	0.0002843797068127811%
('B3', 'C1')	819	0.00022546658265214687%
('B3', 'C10')	6129	0.0016872828877594727%
('B3', 'C2')	1257	0.0003460457807005478%
('B3', 'C3')	1010	0.00027804792244037654%
('B3', 'C4')	14152	0.00389597445383783%
('B3', 'C7')	685	0.0001885770563085722%
('B3', 'C9')	1277	0.0003515516801548127%
('B4', 'A1')	451	0.00012415803269367307%
('B4', 'A10')	381	0.00010488738460374599%
('B4', 'A11')	664	0.00018279586188159406%
('B4', 'A12')	183	5.037898000652367e-05%
('B4', 'A2')	419	0.00011534859356684927%
('B4', 'A3')	990	0.0002725420229861116%
('B4', 'A5')	251	6.909903815102426e-05%
('B4', 'A7')	224	6.166607388776666e-05%
('B4', 'A8')	311	8.56167365138189e-05%
('B4', 'B1')	385	0.00010598856449459898%
('B4', 'B10')	409	0.00011259564383971683%
('B4', 'B2')	277	7.62567074415686e-05%
('B4', 'B3')	1151	0.0003168645135929439%
('B4', 'B4')	8830276	2.430930590470414%
('B4', 'B7')	7066	0.0019452342771917827%
('B4', 'B8')	271	7.460493760528914e-05%
('B4', 'B9')	461	0.0001269109824208055%
('B4', 'C1')	437	0.00012030390307568765%
('B4', 'C10')	1345	0.00037027173829931327%
('B4', 'C2')	255	7.020021804187725e-05%
('B4', 'C3')	158	4.3496605688692565e-05%
('B4', 'C4')	2326	0.0006403361065310057%
('B4', 'C7')	134	3.68895263435747e-05%
('B4', 'C9')	451	0.00012415803269367307%
('B7', 'A1')	574	0.0001580193143374021%
('B7', 'A10')	958	0.0002637325838592878%
('B7', 'A11')	906	0.0002494172452781991%
('B7', 'A12')	277	7.62567074415686e-05%
('B7', 'A2')	472	0.0001299392271206512%
('B7', 'A3')	88571	0.024383151028184738%
('B7', 'A5')	275	7.570611749614211e-05%
('B7', 'A7')	404	0.00011121916897615061%
('B7', 'A8')	675	0.00018582410658143973%
('B7', 'B1')	363	9.99320750949076e-05%
('B7', 'B10')	534	0.00014700751542887232%
('B7', 'B2')	317	8.726850635009837e-05%
('B7', 'B3')	1574	0.00043331428705064613%
('B7', 'B4')	759	0.00020894888428935223%
('B7', 'B7')	11184304	3.0789826644966265%
('B7', 'B8')	991	0.0002728173179588249%
('B7', 'B9')	661	0.00018196997696345434%
('B7', 'C1')	338	9.30497007770765e-05%
('B7', 'C10')	4277	0.001177436598294545%
('B7', 'C2')	318	8.754380132281163e-05%
('B7', 'C3')	366	0.00010075796001304734%
('B7', 'C4')	4625	0.0012732392487987537%
('B7', 'C7')	474	0.00013048981706607768%
('B7', 'C9')	610	0.0001679299333550789%
('B8', 'A1')	216	5.946371410606072e-05%
('B8', 'A10')	311	8.56167365138189e-05%
('B8', 'A11')	407	0.00011204505389429033%
('B8', 'A12')	88	2.4225957598765477e-05%
('B8', 'A2')	173	4.762603027939122e-05%
('B8', 'A3')	327	9.00214560772308e-05%
('B8', 'A5')	254	6.9924923069164e-05%
('B8', 'A7')	293	8.066142700498052e-05%
('B8', 'A8')	315	8.671791640467188e-05%
('B8', 'B1')	133	3.661423137086146e-05%
('B8', 'B10')	223	6.139077891505344e-05%
('B8', 'B2')	123	3.386128164372902e-05%
('B8', 'B3')	619	0.00017040758810949808%
('B8', 'B4')	164	4.514837552497203e-05%
('B8', 'B7')	424	0.00011672506843041547%
('B8', 'B8')	4611350	1.269481472421218%
('B8', 'B9')	1047	0.00028823383643076654%
('B8', 'C1')	132	3.6338936398148213e-05%
('B8', 'C10')	1307	0.00035981052933621%
('B8', 'C2')	118	3.24848067801628e-05%
('B8', 'C3')	188	5.175545487008988e-05%
('B8', 'C4')	1173	0.0003229210029926353%
('B8', 'C7')	111	3.055774197117009e-05%
('B8', 'C9')	191	5.258133978822962e-05%
('B9', 'A1')	553	0.00015223811991042397%
('B9', 'A10')	508	0.000139849846138328%
('B9', 'A11')	755	0.0002078477043984993%
('B9', 'A12')	133	3.661423137086146e-05%
('B9', 'A2')	688	0.0001894029412267119%
('B9', 'A3')	653	0.0001797676171817484%
('B9', 'A5')	329	9.05720460226573e-05%
('B9', 'A7')	628	0.00017288524286391727%
('B9', 'A8')	541	0.00014893458023786503%
('B9', 'B1')	492	0.0001354451265749161%
('B9', 'B10')	625	0.00017205935794577752%
('B9', 'B2')	249	6.854844820559778e-05%
('B9', 'B3')	1292	0.0003556811047455113%
('B9', 'B4')	363	9.99320750949076e-05%
('B9', 'B7')	482	0.00013269217684778363%
('B9', 'B8')	378	0.00010406149968560625%
('B9', 'B9')	8872034	2.4424263579409735%
('B9', 'C1')	344	9.470147061335596e-05%
('B9', 'C10')	2178	0.0005995924505694456%
('B9', 'C2')	448	0.00012333214777553332%
('B9', 'C3')	173	4.762603027939122e-05%
('B9', 'C4')	2578	0.0007097104396547432%
('B9', 'C7')	182	5.010368503381042e-05%
('B9', 'C9')	386	0.0001062638594673122%
('C1', 'A1')	567	0.0001560922495284094%
('C1', 'A10')	320	8.80943912682381e-05%
('C1', 'A11')	448	0.00012333214777553332%
('C1', 'A12')	149	4.101895093427337e-05%
('C1', 'A2')	323	8.892027618637783e-05%
('C1', 'A3')	417	0.00011479800362142278%
('C1', 'A5')	211	5.80872392424945e-05%
('C1', 'A7')	266	7.322846274172292e-05%
('C1', 'A8')	264	7.267787279629643e-05%
('C1', 'B1')	277	7.62567074415686e-05%
('C1', 'B10')	328	9.029675104994406e-05%
('C1', 'B2')	248	6.827315323288453e-05%
('C1', 'B3')	775	0.00021335360385276415%
('C1', 'B4')	421	0.00011589918351227575%
('C1', 'B7')	297	8.17626068958335e-05%
('C1', 'B8')	120	3.303539672558929e-05%
('C1', 'B9')	215	5.918841913334748e-05%
('C1', 'C1')	6587100	1.81339551475941%
('C1', 'C10')	18138	0.004993300215072821%
('C1', 'C2')	448	0.00012333214777553332%
('C1', 'C3')	122	3.3585986671015776e-05%
('C1', 'C4')	1650	0.0004542367049768527%
('C1', 'C7')	95	2.6153022407758187e-05%
('C1', 'C9')	397	0.00010929210416715789%
('C10', 'A1')	1807	0.000497458015692832%
('C10', 'A10')	2779	0.0007650447291701053%
('C10', 'A11')	3013	0.0008294637527850045%
('C10', 'A12')	1053	0.000289885606267046%
('C10', 'A2')	1520	0.000418448358524131%
('C10', 'A3')	3200	0.000880943912682381%
('C10', 'A5')	1187	0.0003267751326106207%
('C10', 'A7')	1042	0.00028685736156720034%
('C10', 'A8')	2140	0.0005891312416063424%
('C10', 'B1')	1326	0.00036504113381776164%
('C10', 'B10')	1619	0.0004457025608227421%
('C10', 'B2')	1090	0.00030007152025743604%
('C10', 'B3')	5933	0.0016333250731076772%
('C10', 'B4')	1381	0.00038018235731699003%
('C10', 'B7')	2865	0.0007887200968234443%
('C10', 'B8')	1643	0.00045230964016786004%
